Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Firefox 61.0,,2018-07-14 18:41:49,2018-07-14 18:43:18,1m - 28.219s,FAILED
,,,,,,
Test Cases/Login Attempt,Firefox 61.0,,2018-07-14 18:41:51,2018-07-14 18:42:37,45.939s,FAILED
openBrowser,Firefox 61.0,,2018-07-14 18:41:52,2018-07-14 18:42:15,23.281s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-14 18:42:15,2018-07-14 18:42:31,15.777s,PASSED
click,Firefox 61.0,,2018-07-14 18:42:31,2018-07-14 18:42:31,0.725s,PASSED
delay,Firefox 61.0,,2018-07-14 18:42:31,2018-07-14 18:42:35,3.035s,PASSED
setText,Firefox 61.0,,2018-07-14 18:42:35,2018-07-14 18:42:35,0.590s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-14 18:42:35,2018-07-14 18:42:37,1.459s,FAILED
,,,,,,
Test Cases/Sample,Firefox 61.0,,2018-07-14 18:42:37,2018-07-14 18:43:16,39.213s,FAILED
openBrowser,Firefox 61.0,,2018-07-14 18:42:37,2018-07-14 18:42:50,13.062s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-14 18:42:50,2018-07-14 18:43:01,11.405s,PASSED
click,Firefox 61.0,,2018-07-14 18:43:01,2018-07-14 18:43:04,2.136s,PASSED
waitForElementClickable,Firefox 61.0,,2018-07-14 18:43:04,2018-07-14 18:43:04,0.847s,PASSED
mouseOver,Firefox 61.0,,2018-07-14 18:43:04,2018-07-14 18:43:05,0.402s,PASSED
click,Firefox 61.0,,2018-07-14 18:43:05,2018-07-14 18:43:12,6.665s,PASSED
click,Firefox 61.0,,2018-07-14 18:43:12,2018-07-14 18:43:14,2.914s,PASSED
click,Firefox 61.0,,2018-07-14 18:43:14,2018-07-14 18:43:16,1.042s,PASSED
click,Firefox 61.0,,2018-07-14 18:43:16,2018-07-14 18:43:16,0.264s,FAILED
